"audit_id","scope","entity_count","method","status","proven_result","duplicate_group_id","unresolved","modeling_implication","evidence_source"
"D00","archive member versus extracted ES10.mat","1 member and 1 extracted file","streamed SHA256 plus size and CRC32 comparison","passed_integrity_only","SHA256 exact match dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db","","does not test semantic or numeric duplicates","safe byte identity for audited target only","DATA_MANIFEST.json;AUDIT_SUMMARY.json"
"D01","archive member versus extracted ES12.mat","1 member and 1 extracted file","streamed SHA256 plus size and CRC32 comparison","passed_integrity_only","SHA256 exact match 18109558c6df7cafcba50a71b774367c887b331a09cf8b99ddcef2ddeb3e0a4a","","does not test semantic or numeric duplicates","safe byte identity for audited target only","DATA_MANIFEST.json;AUDIT_SUMMARY.json"
"D02","archive member versus extracted ES14.mat","1 member and 1 extracted file","streamed SHA256 plus size and CRC32 comparison","passed_integrity_only","SHA256 exact match 2d926d4eb7e01e16a8711b98517a69eb98a53b811df5c65db36da584f9f40a90","","does not test semantic or numeric duplicates","safe byte identity for audited target only","DATA_MANIFEST.json;AUDIT_SUMMARY.json"
"D10","within ES10.mat EIS Data references","2981 nonempty numeric references","resolve each reference to HDF5 target path and count target reuse","probed_no_same_object_multiuse","0 target objects referenced by multiple inspected slots","","equal numeric content in different objects not assessed","does not justify treating labels as independent physical units","LARGE_PACK_SCHEMA_PROBE.md"
"D11","within ES12.mat EIS Data references","2921 nonempty numeric references","resolve each reference to HDF5 target path and count target reuse","probed_no_same_object_multiuse","0 target objects referenced by multiple inspected slots","","equal numeric content in different objects not assessed","does not justify treating labels as independent physical units","LARGE_PACK_SCHEMA_PROBE.md"
"D12","within ES14.mat EIS Data references","2933 nonempty numeric references","resolve each reference to HDF5 target path and count target reuse","probed_no_same_object_multiuse","0 target objects referenced by multiple inspected slots","","equal numeric content in different objects not assessed","does not justify treating labels as independent physical units","LARGE_PACK_SCHEMA_PROBE.md"
"D20","EIS Reference Table across ES10 ES12 ES14","3 small reference tables","decode all small tokens and compare exact sequence","exact_equal_shared_schedule","all three token tables are exactly equal","","shared schedule is not a duplicate trajectory or physical-unit group","do not create duplicate groups from schedule equality","LARGE_PACK_SCHEMA_PROBE.md"
"D30","within-file numeric content equality","8835 EIS matrices plus transient arrays","chunked content signatures and tolerance-aware comparison","not_assessed","none","","content-equal copies and near duplicates unknown","block duplicate-sensitive split claims until assessed","AUDIT_SUMMARY.json reports metadata_only and zero numeric rows scanned"
"D31","cross-file numeric content equality","ES10 ES12 ES14 numeric payloads","cross-file chunked signatures and trajectory similarity","not_assessed","none","","cross-condition copied or near-identical payloads unknown","cross-condition independence not established","AUDIT_SUMMARY.json;LARGE_PACK_SCHEMA_PROBE.md"
"D32","physical device identity or reuse","24 provisional labels","serial number board batch and replacement-record linkage","not_assessed","none","","physical independence and cross-condition identity unknown","LOCO groups remain provisional and uncertainty must be disclosed","UNIT_LEDGER.csv;LARGE_PACK_SCHEMA_PROBE.md"
