"schema_id","scope","path_pattern","shape_or_count","dtype_or_class","proven_structure","semantic_level","unknown_or_risk","target_role","gate_status","required_action","evidence_source"
"M00","all three files","/**","24018 objects;23932 datasets;86 groups","mixed","HDF5 object inventory readable","proven_structure_only","numeric payload not scanned","integrity and schema inventory","partial_integrity_only","retain metadata-only limitation","AUDIT_SUMMARY.json;HDF5_OBJECTS.csv"
"M01","ES10 ES12 ES14","/{ESx}/Initial_Date","[22,1]","uint16 char","dataset present in all files","quarantined_unknown_semantics","path token alone is not physical proof","candidate initialization timestamp","blocked_pending_mapping","freeze decoder and source-field semantics","HDF5_OBJECTS.csv;QUARANTINE.csv"
"M02","ES10","/ES10/Transient_Data/Serial_Date","[75826,1]","float64 double","dataset shape proven","inferred_MATLAB_datenum","full gap duplicate and NaN scan absent","transient event time","amber_not_eval_released","run chunked numeric time audit","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M03","ES12","/ES12/Transient_Data/Serial_Date","[77241,1]","float64 double","dataset shape proven","inferred_MATLAB_datenum","four more rows than every transient signal","transient event time","red_alignment_blocked","quarantine and determine head or tail alignment without silent trim","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M04","ES14","/ES14/Transient_Data/Serial_Date","[77241,1]","float64 double","dataset shape proven","inferred_MATLAB_datenum","full gap duplicate and NaN scan absent","transient event time","amber_not_eval_released","run chunked numeric time audit","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M05","ES10 C1-C7","/ES10/Transient_Data/ES10C{1..7}/{VL|VO}","each [75826,400]","float64 double","seven paired VL and VO trajectory labels proven","VL and VO physical semantics unknown; nominal condition inferred","C8 absent; units calibration and NaN padding unknown","transient forecasting candidates","amber_not_eval_released","freeze semantics and run numeric quality audit","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M06","ES12 C1-C8","/ES12/Transient_Data/ES12C{1..8}/{VL|VO}","each [77237,400]","float64 double","eight paired VL and VO trajectory labels proven","VL and VO physical semantics unknown; nominal condition inferred","Serial_Date is [77241,1] and off by 4","transient forecasting candidates","red_alignment_blocked","resolve timestamp alignment before parser output","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M07","ES14 C1-C8","/ES14/Transient_Data/ES14C{1..8}/{VL|VO}","each [77241,400]","float64 double","eight paired VL and VO trajectory labels proven","VL and VO physical semantics unknown; nominal condition inferred","units calibration full NaN and padding scan absent","transient forecasting candidates","amber_not_eval_released","freeze semantics and run numeric quality audit","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M08","all conditions","/{ESx}/EIS_Data/EIS_Reference_Table","[4,73]","reference dtype cell","dataset and shared 73-event structure proven","date start end observed; fourth token inferred elapsed-like","fourth field name and unit unknown; first two elapsed tokens duplicate zero","EIS event schedule","amber_not_eval_released","freeze field mapping and causal availability rule","HDF5_OBJECTS.csv;QUARANTINE.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M09","24 provisional labels","/{ESx}/EIS_Data/{ESxCk}/EIS_Measurement/Header","each [73,1] outer reference","reference dtype","24 by 73 event header arrays proven","acquisition timestamp parser inferred from header strings","replicate cell order is not chronological","causal availability timestamp","amber_not_eval_released","pair Header with Data then sort by parsed acquisition time","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M10","24 provisional labels","/{ESx}/EIS_Data/{ESxCk}/EIS_Measurement/Data","each [73,1] outer reference","reference dtype","24 by 73 event data arrays and matching Header cell shapes proven","nested matrices are EIS measurements","all replicate numeric shapes and payload quality not fully scanned","EIS predictor and target source","amber_not_eval_released","retain event to replicate nesting and audit numeric payload","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M11","24 provisional labels","/{ESx}/EIS_Data/{ESxCk}/EIS_Measurement/ColumNames","each [73,1] to [12,20] char","reference dtype to uint16 char","20 raw tokens decoded","merge cycle+number and I+Range to 18 columns is inferred","mapping needs frozen schema test","EIS feature names","amber_not_eval_released","validate 18-column mapping against numeric matrices and protocol","HDF5_OBJECTS.csv;LARGE_PACK_SCHEMA_PROBE.md"
"M12","all EIS events","Data[event] replicate numeric references","8835 nonempty matrices; typical h5py [18,59]","float64 double","replicate count and typical metadata shape probed","transpose to frequency rows by feature columns inferred","one first matrix [18,58]; remaining full shape distribution not scanned","raw EIS matrix","amber_not_eval_released","chunked shape grid frequency and finite-value audit","LARGE_PACK_SCHEMA_PROBE.md"
"M13","EIS derived target","decoded Cs/µF and Cp/µF columns","not yet materialized","derived","column tokens exist","capacity candidate only","frequency selection fit and replicate aggregation not frozen","capacity trajectory","conditional_blocked_for_official_eval","freeze train-only extraction and numerical validation","LARGE_PACK_SCHEMA_PROBE.md"
"M14","EIS derived target","decoded Re(Z)/Ohm over frequency","not yet materialized","derived","Re(Z) token exists","ESR is not a direct field","high-frequency intercept or circuit-fit definition absent","ESR trajectory","red_blocked_until_defined","freeze ESR definition fit failure handling and units","LARGE_PACK_SCHEMA_PROBE.md"
"M15","outcome targets","no named source path","absent","none","no named failure termination SOH or RUL field found","unknown","EOL threshold censoring and termination cause absent","SOH and RUL","red_blocked","obtain defensible outcome metadata or keep RUL excluded","AUDIT_SUMMARY.json;QUARANTINE.csv;LARGE_PACK_SCHEMA_PROBE.md"
